domain,representation,stage,n_adaptation_speakers,n_adaptation_samples,repeat,seed,adaptation_speakers,train_loss,run_id,target_balanced_accuracy,target_macro_f1_observed,target_accuracy,unsupported_prediction_rate,source_balanced_accuracy,target_gain,source_change
ravdess_song,egemaps,adapted,8,352,3,42,"[""ravdess_04"", ""ravdess_07"", ""ravdess_08"", ""ravdess_09"", ""ravdess_12"", ""ravdess_13"", ""ravdess_22"", ""ravdess_24""]",7.917185685851357,adapt::ravdess_song::egemaps::n8::r3::s42,0.4479166666666667,0.41284906212090683,0.4659090909090909,0.011363636363636364,0.48828125,0.09895833333333337,-0.06640625
ravdess_song,egemaps,adapted,8,352,3,73,"[""ravdess_04"", ""ravdess_07"", ""ravdess_08"", ""ravdess_09"", ""ravdess_12"", ""ravdess_13"", ""ravdess_22"", ""ravdess_24""]",8.076098333705556,adapt::ravdess_song::egemaps::n8::r3::s73,0.4427083333333333,0.41298321400449006,0.4602272727272727,0.011363636363636364,0.48828125,0.09375,-0.06640625
ravdess_song,egemaps,adapted,8,352,4,13,"[""ravdess_01"", ""ravdess_04"", ""ravdess_05"", ""ravdess_07"", ""ravdess_12"", ""ravdess_14"", ""ravdess_17"", ""ravdess_22""]",8.876776126298038,adapt::ravdess_song::egemaps::n8::r4::s13,0.4947916666666667,0.4883441680280301,0.5170454545454546,0.011363636363636364,0.515625,0.14583333333333337,-0.0390625
ravdess_song,egemaps,adapted,8,352,4,42,"[""ravdess_01"", ""ravdess_04"", ""ravdess_05"", ""ravdess_07"", ""ravdess_12"", ""ravdess_14"", ""ravdess_17"", ""ravdess_22""]",8.556954643943094,adapt::ravdess_song::egemaps::n8::r4::s42,0.5,0.4933627408983509,0.5227272727272727,0.011363636363636364,0.53515625,0.15104166666666669,-0.01953125
ravdess_song,egemaps,adapted,8,352,4,73,"[""ravdess_01"", ""ravdess_04"", ""ravdess_05"", ""ravdess_07"", ""ravdess_12"", ""ravdess_14"", ""ravdess_17"", ""ravdess_22""]",8.596513238820163,adapt::ravdess_song::egemaps::n8::r4::s73,0.5,0.49220657765384407,0.5227272727272727,0.011363636363636364,0.53125,0.15104166666666669,-0.0234375
ravdess_song,egemaps,adapted,19,836,0,13,"[""ravdess_01"", ""ravdess_03"", ""ravdess_04"", ""ravdess_05"", ""ravdess_07"", ""ravdess_08"", ""ravdess_09"", ""ravdess_10"", ""ravdess_11"", ""ravdess_12"", ""ravdess_13"", ""ravdess_14"", ""ravdess_15"", ""ravdess_16"", ""ravdess_17"", ""ravdess_19"", ""ravdess_20"", ""ravdess_22"", ""ravdess_24""]",1.4160789710482913,adapt::ravdess_song::egemaps::n19::r0::s13,0.4791666666666667,0.46352258852258843,0.4943181818181818,0.005681818181818182,0.51171875,0.13020833333333337,-0.04296875
ravdess_song,egemaps,adapted,19,836,0,42,"[""ravdess_01"", ""ravdess_03"", ""ravdess_04"", ""ravdess_05"", ""ravdess_07"", ""ravdess_08"", ""ravdess_09"", ""ravdess_10"", ""ravdess_11"", ""ravdess_12"", ""ravdess_13"", ""ravdess_14"", ""ravdess_15"", ""ravdess_16"", ""ravdess_17"", ""ravdess_19"", ""ravdess_20"", ""ravdess_22"", ""ravdess_24""]",1.310782777350485,adapt::ravdess_song::egemaps::n19::r0::s42,0.4947916666666667,0.47563087211777394,0.5113636363636364,0.005681818181818182,0.51171875,0.14583333333333337,-0.04296875
ravdess_song,egemaps,adapted,19,836,0,73,"[""ravdess_01"", ""ravdess_03"", ""ravdess_04"", ""ravdess_05"", ""ravdess_07"", ""ravdess_08"", ""ravdess_09"", ""ravdess_10"", ""ravdess_11"", ""ravdess_12"", ""ravdess_13"", ""ravdess_14"", ""ravdess_15"", ""ravdess_16"", ""ravdess_17"", ""ravdess_19"", ""ravdess_20"", ""ravdess_22"", ""ravdess_24""]",1.3140912472346182,adapt::ravdess_song::egemaps::n19::r0::s73,0.4895833333333333,0.4695466540627831,0.5,0.005681818181818182,0.51171875,0.140625,-0.04296875
ravdess_song,wav2vec_temporal,zero_shot,0,0,-1,-1,[],,zero_shot::ravdess_song::wav2vec_temporal,0.4583333333333333,0.39660859085824024,0.4602272727272727,0.005681818181818182,0.828125,0.0,0.0
ravdess_song,wav2vec_temporal,adapted,1,44,0,13,"[""ravdess_15""]",0.0013913928996771574,adapt::ravdess_song::wav2vec_temporal::n1::r0::s13,0.4895833333333333,0.4790872717173833,0.5,0.0,0.80859375,0.03125,-0.01953125
ravdess_song,wav2vec_temporal,adapted,1,44,0,42,"[""ravdess_15""]",0.0013913928996771574,adapt::ravdess_song::wav2vec_temporal::n1::r0::s42,0.4895833333333333,0.4790872717173833,0.5,0.0,0.80859375,0.03125,-0.01953125
ravdess_song,wav2vec_temporal,adapted,1,44,0,73,"[""ravdess_15""]",0.0013913928996771574,adapt::ravdess_song::wav2vec_temporal::n1::r0::s73,0.4895833333333333,0.4790872717173833,0.5,0.0,0.80859375,0.03125,-0.01953125
ravdess_song,wav2vec_temporal,adapted,1,44,1,13,"[""ravdess_11""]",0.0029142636340111494,adapt::ravdess_song::wav2vec_temporal::n1::r1::s13,0.5572916666666666,0.5443190959113676,0.5681818181818182,0.0,0.77734375,0.09895833333333331,-0.05078125
ravdess_song,wav2vec_temporal,adapted,1,44,1,42,"[""ravdess_11""]",0.002914258511736989,adapt::ravdess_song::wav2vec_temporal::n1::r1::s42,0.5572916666666666,0.5443190959113676,0.5681818181818182,0.0,0.77734375,0.09895833333333331,-0.05078125
ravdess_song,wav2vec_temporal,adapted,1,44,1,73,"[""ravdess_11""]",0.002914261072874069,adapt::ravdess_song::wav2vec_temporal::n1::r1::s73,0.5572916666666666,0.5443190959113676,0.5681818181818182,0.0,0.77734375,0.09895833333333331,-0.05078125
ravdess_song,wav2vec_temporal,adapted,1,44,2,13,"[""ravdess_04""]",0.002998660085722804,adapt::ravdess_song::wav2vec_temporal::n1::r2::s13,0.4895833333333333,0.4635305712075041,0.5,0.005681818181818182,0.73828125,0.03125,-0.08984375
ravdess_song,wav2vec_temporal,adapted,1,44,2,42,"[""ravdess_04""]",0.0029986596200615168,adapt::ravdess_song::wav2vec_temporal::n1::r2::s42,0.4895833333333333,0.4635305712075041,0.5,0.005681818181818182,0.73828125,0.03125,-0.08984375
ravdess_song,wav2vec_temporal,adapted,1,44,2,73,"[""ravdess_04""]",0.0029986572917550802,adapt::ravdess_song::wav2vec_temporal::n1::r2::s73,0.4895833333333333,0.4635305712075041,0.5,0.005681818181818182,0.73828125,0.03125,-0.08984375
ravdess_song,wav2vec_temporal,adapted,1,44,3,13,"[""ravdess_08""]",0.001007221988402307,adapt::ravdess_song::wav2vec_temporal::n1::r3::s13,0.5260416666666666,0.4952864280852826,0.48863636363636365,0.005681818181818182,0.7265625,0.06770833333333331,-0.1015625
ravdess_song,wav2vec_temporal,adapted,1,44,3,42,"[""ravdess_08""]",0.001007221988402307,adapt::ravdess_song::wav2vec_temporal::n1::r3::s42,0.5260416666666666,0.4952864280852826,0.48863636363636365,0.005681818181818182,0.7265625,0.06770833333333331,-0.1015625
ravdess_song,wav2vec_temporal,adapted,1,44,3,73,"[""ravdess_08""]",0.001007221988402307,adapt::ravdess_song::wav2vec_temporal::n1::r3::s73,0.5260416666666666,0.4952864280852826,0.48863636363636365,0.005681818181818182,0.7265625,0.06770833333333331,-0.1015625
ravdess_song,wav2vec_temporal,adapted,1,44,4,13,"[""ravdess_13""]",0.003718347055837512,adapt::ravdess_song::wav2vec_temporal::n1::r4::s13,0.4583333333333333,0.46866138295037735,0.4772727272727273,0.0,0.7890625,0.0,-0.0390625
ravdess_song,wav2vec_temporal,adapted,1,44,4,42,"[""ravdess_13""]",0.003718347055837512,adapt::ravdess_song::wav2vec_temporal::n1::r4::s42,0.4583333333333333,0.46866138295037735,0.4772727272727273,0.0,0.7890625,0.0,-0.0390625
ravdess_song,wav2vec_temporal,adapted,1,44,4,73,"[""ravdess_13""]",0.0037183447275310755,adapt::ravdess_song::wav2vec_temporal::n1::r4::s73,0.4583333333333333,0.46866138295037735,0.4772727272727273,0.0,0.7890625,0.0,-0.0390625
ravdess_song,wav2vec_temporal,adapted,2,88,0,13,"[""ravdess_01"", ""ravdess_17""]",0.004028271121734922,adapt::ravdess_song::wav2vec_temporal::n2::r0::s13,0.5052083333333334,0.5060692823351051,0.5227272727272727,0.0,0.78125,0.046875000000000056,-0.046875
