representation,protocol,target,model,refinement,fold,n_input_features,n_features,n_train,n_validation,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,original_macro_f1,original_balanced_accuracy,original_uar,original_weighted_f1,original_accuracy,inner_best_balanced_accuracy,pca_n_components,pca_explained_variance,lda_n_components
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,none,0,768,768,960,240,0.2644374000374228,0.6298671118008654,0.6419270833333334,0.6419270833333334,0.681473321698783,0.6833333333333333,,,,,,,,,
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,none,1,768,768,960,240,0.2348296000855043,0.5383530826899565,0.5572916666666666,0.5572916666666666,0.5631849893177645,0.55,,,,,,,,,
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,none,2,768,768,960,240,0.2666137999622151,0.6291499421911837,0.6223958333333333,0.6223958333333333,0.6480769832108825,0.6458333333333334,,,,,,,,,
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,none,3,768,768,960,240,0.2800241999793798,0.4833666569381275,0.4791666666666667,0.4791666666666667,0.556230129834447,0.575,,,,,,,,,
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,none,4,768,768,960,240,0.3359592000488192,0.6383966630130313,0.65625,0.65625,0.6838062761336418,0.6958333333333333,,,,,,,,,
wav2vec,speaker_independent,emotion_quadrant,mlp,none,0,768,768,960,240,0.9574434999376537,0.5906292826784629,0.5911458333333334,0.5911458333333334,0.6319415965536185,0.6333333333333333,,,,,,,,,
wav2vec,speaker_independent,emotion_quadrant,mlp,none,1,768,768,960,240,1.1454550999915227,0.5073518502178711,0.5065104166666667,0.5065104166666667,0.5450242212988127,0.5291666666666667,,,,,,,,,
wav2vec,speaker_independent,emotion_quadrant,mlp,none,2,768,768,960,240,1.77534250007011,0.5801945742735217,0.5716145833333334,0.5716145833333334,0.6097925403188562,0.6083333333333333,,,,,,,,,
wav2vec,speaker_independent,emotion_quadrant,mlp,none,3,768,768,960,240,0.9281711999792606,0.5511437908496732,0.5520833333333333,0.5520833333333333,0.629380641145347,0.6583333333333333,,,,,,,,,
wav2vec,speaker_independent,emotion_quadrant,mlp,none,4,768,768,960,240,0.975245299981907,0.6125880037656408,0.62109375,0.62109375,0.6563721944556039,0.6708333333333333,,,,,,,,,
