representation,protocol,target,model,refinement,fold,n_input_features,n_features,n_train,n_validation,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,seed,result_type,trainable_params,best_epoch,seed_macro_f1_std,layer_strategy,pooling
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,4,9984,1536,,,58.776934499968775,0.7340130204825531,0.73828125,0.73828125,0.7371138885147234,0.7416666666666667,73,seed,64649.0,8.0,,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,4,9984,1536,,,,0.787712044321554,0.796875,0.796875,0.7933793337628108,0.7958333333333333,-1,ensemble,64649.0,,0.08991311773354657,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,0,9984,1536,,,96.4878303000005,0.6182499529056192,0.6484375,0.6484375,0.6312614882275324,0.6458333333333334,13,seed,64662.0,11.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,0,9984,1536,,,122.83307990001049,0.6269544494881545,0.63671875,0.63671875,0.642084746120698,0.6458333333333334,42,seed,64662.0,14.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,0,9984,1536,,,87.03141040005721,0.6390688261801853,0.65625,0.65625,0.6523400812588644,0.6541666666666667,73,seed,64662.0,10.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,0,9984,1536,,,,0.6483333276698315,0.671875,0.671875,0.6619259198848575,0.6666666666666666,-1,ensemble,64662.0,,0.008537185769810092,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,1,9984,1536,,,69.42054740001913,0.5770545096140616,0.57421875,0.57421875,0.5897183586420958,0.5875,13,seed,64662.0,8.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,1,9984,1536,,,138.39155129995197,0.5688792536905296,0.546875,0.546875,0.5657788962442573,0.55,42,seed,64662.0,16.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,1,9984,1536,,,104.15247550001368,0.6191686770042644,0.609375,0.609375,0.6217369113851937,0.6125,73,seed,64662.0,12.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,1,9984,1536,,,,0.6654052437572435,0.66015625,0.66015625,0.6722655933410597,0.6666666666666666,-1,ensemble,64662.0,,0.022033973771865407,learned,attentive_mean_std
