protocol,target,pooling,fold,seed,layer,weight
speaker_independent,emotion_quadrant,mean,1,42,12,0.07219082862138748
speaker_independent,emotion_quadrant,mean,1,73,0,0.07447999715805054
speaker_independent,emotion_quadrant,mean,1,73,1,0.07425300776958466
speaker_independent,emotion_quadrant,mean,1,73,2,0.07821627706289291
speaker_independent,emotion_quadrant,mean,1,73,3,0.07813062518835068
speaker_independent,emotion_quadrant,mean,1,73,4,0.08136916905641556
speaker_independent,emotion_quadrant,mean,1,73,5,0.07909863442182541
speaker_independent,emotion_quadrant,mean,1,73,6,0.08116334676742554
speaker_independent,emotion_quadrant,mean,1,73,7,0.07853003591299057
speaker_independent,emotion_quadrant,mean,1,73,8,0.08077144622802734
speaker_independent,emotion_quadrant,mean,1,73,9,0.07526988536119461
speaker_independent,emotion_quadrant,mean,1,73,10,0.07172249257564545
speaker_independent,emotion_quadrant,mean,1,73,11,0.07170159369707108
speaker_independent,emotion_quadrant,mean,1,73,12,0.07529345154762268
speaker_independent,emotion_quadrant,mean,2,13,0,0.06866029649972916
speaker_independent,emotion_quadrant,mean,2,13,1,0.06991341710090637
speaker_independent,emotion_quadrant,mean,2,13,2,0.07872415333986282
speaker_independent,emotion_quadrant,mean,2,13,3,0.07087647169828415
speaker_independent,emotion_quadrant,mean,2,13,4,0.09088040143251419
speaker_independent,emotion_quadrant,mean,2,13,5,0.08438592404127121
speaker_independent,emotion_quadrant,mean,2,13,6,0.0839758887887001
speaker_independent,emotion_quadrant,mean,2,13,7,0.08763308078050613
speaker_independent,emotion_quadrant,mean,2,13,8,0.0937078520655632
speaker_independent,emotion_quadrant,mean,2,13,9,0.07298645377159119
speaker_independent,emotion_quadrant,mean,2,13,10,0.06378492712974548
speaker_independent,emotion_quadrant,mean,2,13,11,0.0635417103767395
speaker_independent,emotion_quadrant,mean,2,13,12,0.07092943787574768
speaker_independent,emotion_quadrant,mean,2,42,0,0.07455136626958847
speaker_independent,emotion_quadrant,mean,2,42,1,0.06691573560237885
speaker_independent,emotion_quadrant,mean,2,42,2,0.07491592317819595
speaker_independent,emotion_quadrant,mean,2,42,3,0.0770576223731041
speaker_independent,emotion_quadrant,mean,2,42,4,0.08749005198478699
speaker_independent,emotion_quadrant,mean,2,42,5,0.08597183227539062
speaker_independent,emotion_quadrant,mean,2,42,6,0.08320199698209763
speaker_independent,emotion_quadrant,mean,2,42,7,0.08994882553815842
speaker_independent,emotion_quadrant,mean,2,42,8,0.08342898637056351
speaker_independent,emotion_quadrant,mean,2,42,9,0.07175219058990479
speaker_independent,emotion_quadrant,mean,2,42,10,0.0687766745686531
speaker_independent,emotion_quadrant,mean,2,42,11,0.06555923819541931
speaker_independent,emotion_quadrant,mean,2,42,12,0.07042957842350006
speaker_independent,emotion_quadrant,mean,2,73,0,0.07833698391914368
speaker_independent,emotion_quadrant,mean,2,73,1,0.07002972811460495
speaker_independent,emotion_quadrant,mean,2,73,2,0.07617702335119247
speaker_independent,emotion_quadrant,mean,2,73,3,0.07194202393293381
speaker_independent,emotion_quadrant,mean,2,73,4,0.08387649059295654
speaker_independent,emotion_quadrant,mean,2,73,5,0.08307915925979614
speaker_independent,emotion_quadrant,mean,2,73,6,0.0815565213561058
speaker_independent,emotion_quadrant,mean,2,73,7,0.09167324751615524
speaker_independent,emotion_quadrant,mean,2,73,8,0.08756668865680695
speaker_independent,emotion_quadrant,mean,2,73,9,0.07906998693943024
speaker_independent,emotion_quadrant,mean,2,73,10,0.06383591890335083
speaker_independent,emotion_quadrant,mean,2,73,11,0.06298290193080902
speaker_independent,emotion_quadrant,mean,2,73,12,0.0698733702301979
speaker_independent,emotion_quadrant,mean,3,13,0,0.07291781157255173
speaker_independent,emotion_quadrant,mean,3,13,1,0.07335969060659409
speaker_independent,emotion_quadrant,mean,3,13,2,0.07812489569187164
speaker_independent,emotion_quadrant,mean,3,13,3,0.07427570968866348
speaker_independent,emotion_quadrant,mean,3,13,4,0.08253858238458633
speaker_independent,emotion_quadrant,mean,3,13,5,0.08276133984327316
speaker_independent,emotion_quadrant,mean,3,13,6,0.08704853057861328
speaker_independent,emotion_quadrant,mean,3,13,7,0.08616223186254501
speaker_independent,emotion_quadrant,mean,3,13,8,0.08441512286663055
speaker_independent,emotion_quadrant,mean,3,13,9,0.0731683298945427
speaker_independent,emotion_quadrant,mean,3,13,10,0.06667718291282654
speaker_independent,emotion_quadrant,mean,3,13,11,0.06785110384225845
speaker_independent,emotion_quadrant,mean,3,13,12,0.07069949805736542
speaker_independent,emotion_quadrant,mean,3,42,0,0.07802821695804596
speaker_independent,emotion_quadrant,mean,3,42,1,0.07846494764089584
speaker_independent,emotion_quadrant,mean,3,42,2,0.08496453613042831
speaker_independent,emotion_quadrant,mean,3,42,3,0.07175425440073013
speaker_independent,emotion_quadrant,mean,3,42,4,0.0822252407670021
speaker_independent,emotion_quadrant,mean,3,42,5,0.07952350378036499
speaker_independent,emotion_quadrant,mean,3,42,6,0.07983195781707764
speaker_independent,emotion_quadrant,mean,3,42,7,0.07658559083938599
speaker_independent,emotion_quadrant,mean,3,42,8,0.08036322891712189
speaker_independent,emotion_quadrant,mean,3,42,9,0.07209938764572144
speaker_independent,emotion_quadrant,mean,3,42,10,0.07184046506881714
speaker_independent,emotion_quadrant,mean,3,42,11,0.0710752010345459
