file_id,configuration,protocol,target,fold,seed,attention_entropy,attention_entropy_normalized,max_attention,frames_for_50pct_mass,frames_fraction_50pct_mass,n_frames
03-01-01-01-01-01-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.2902250056061337,0.678113042713833,0.1970360647179053,5,0.0390625,128
03-01-01-01-01-01-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.237933954073364,0.7432064163291079,0.17178914808133885,6,0.07692307692307693,78
03-01-01-01-01-01-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.244787943347036,0.7210944864494422,0.16445375288323014,6,0.06666666666666667,90
03-01-01-01-01-02-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,2.8255533738262195,0.6343361183809703,0.1636229520138253,4,0.046511627906976744,86
03-01-01-01-01-02-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.022452037651913,0.6917240209069929,0.18466512156173484,4,0.05063291139240506,79
03-01-01-01-01-02-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,2.9251535806626765,0.6438397068308118,0.15551885461067805,4,0.0425531914893617,94
03-01-01-01-02-01-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.3374827632120154,0.7616299583401317,0.15100217258511853,7,0.0875,80
03-01-01-01-02-01-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,2.9933645049785356,0.6458553483020233,0.24318242087037223,4,0.038834951456310676,103
03-01-01-01-02-01-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.2129119067526286,0.7464831124012508,0.1498532147343926,6,0.08108108108108109,74
03-01-01-01-02-01-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.4093857552015123,0.7356170692741675,0.1178299210994374,7,0.06796116504854369,103
03-01-01-01-02-02-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.4045527426045283,0.7814506036639242,0.1620659569656666,8,0.10256410256410256,78
03-01-01-01-02-02-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,2.841106820988807,0.6329554428037464,0.17024700477606308,4,0.0449438202247191,89
03-01-01-01-02-02-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.091359594846593,0.7138189659680604,0.22214339086719279,6,0.07894736842105263,76
03-01-01-01-02-02-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.524337860266917,0.7527208634926656,0.12916055492002645,9,0.08333333333333333,108
03-01-02-01-01-01-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.4877185522261756,0.7641219306506434,0.10256683638413985,8,0.08333333333333333,96
03-01-02-01-01-01-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.1832900396056316,0.7127979248629597,0.18247025152937102,5,0.05747126436781609,87
03-01-02-01-01-01-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.103342164882177,0.6668174912098548,0.14008644665864534,5,0.047619047619047616,105
03-01-02-01-01-02-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.4081029388872777,0.7384645593653739,0.09539734239018148,7,0.06930693069306931,101
03-01-02-01-01-02-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.302283712399527,0.7493746542736133,0.1287151106596691,7,0.08536585365853659,82
03-01-02-01-01-02-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.1938037630955884,0.6997283355958218,0.15103404305321214,6,0.0625,96
03-01-02-01-02-01-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.6615978259449107,0.802217024719884,0.07863116490558332,10,0.10416666666666667,96
03-01-02-01-02-01-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.0990909210182616,0.6366859757362783,0.18232357981657896,4,0.03076923076923077,130
03-01-02-01-02-01-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.398707819335224,0.7734092942505698,0.09554639685727159,8,0.09876543209876543,81
03-01-02-01-02-01-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,2.9324976770971745,0.6516937141659023,0.20062057284627322,4,0.044444444444444446,90
03-01-02-01-02-02-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.439564614896583,0.7606646255763849,0.13652451052559875,8,0.08695652173913043,92
03-01-02-01-02-02-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.3003401222334783,0.6708034384661703,0.11708641102518928,7,0.051094890510948905,137
03-01-02-01-02-02-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.120813225628295,0.729730387825157,0.13837112959323694,5,0.06944444444444445,72
03-01-02-01-02-02-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.190496917265886,0.7055829486278266,0.16187925604142545,5,0.05434782608695652,92
03-01-02-02-01-01-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,2.969391311726462,0.6354590371098835,0.149218460701078,5,0.04672897196261682,107
03-01-02-02-01-01-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,2.7708692809923496,0.6323259788215694,0.27030482861130084,3,0.0375,80
03-01-02-02-01-02-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.2150978835570965,0.6681161082217679,0.151338253289353,5,0.04065040650406504,123
03-01-02-02-01-02-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.3775648548279498,0.7685980053351448,0.16965758112116086,7,0.08641975308641975,81
03-01-02-02-02-01-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.3814856974949867,0.6842837680896957,0.13085493761619896,6,0.04285714285714286,140
03-01-02-02-02-01-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.195411020190921,0.6403074211755899,0.11912053665154562,6,0.04081632653061224,147
03-01-02-02-02-01-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,2.8457384748923347,0.665410484638689,0.26999697330630645,4,0.05555555555555555,72
03-01-02-02-02-01-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,2.701564999414269,0.5816833806804932,0.19877363446937582,4,0.038461538461538464,104
03-01-02-02-02-02-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.375667852873232,0.686114012180859,0.1791267978140313,6,0.043795620437956206,137
03-01-02-02-02-02-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.184842226258523,0.6596179120783425,0.14083847068213884,5,0.04,125
03-01-02-02-02-02-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.184764964735488,0.7422899594834648,0.11568184787808317,5,0.0684931506849315,73
03-01-02-02-02-02-14,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,2.9014351821019986,0.620916212617086,0.26529387219543743,5,0.04672897196261682,107
03-01-03-01-01-01-01,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.335624794553744,0.7341863018818114,0.12189798914363645,7,0.07446808510638298,94
03-01-03-01-01-01-09,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.561742179812127,0.7401508165072123,0.10018239148057956,7,0.056910569105691054,123
03-01-03-01-01-01-13,learned_layers_attention_statistics,speaker_independent,emotion_original,0,-1,3.349771096159822,0.764434216271969,0.16925563230409113,8,0.1,80
